2016-09-08|+|常规修改|+|PE系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-09-23|+|常规修改|+|储值卡系统|+|交易数据维护|+|草稿|+|业务需求不完善|+|1
2016-09-29|+|常规修改|+|对公贷款系统|+|交易数据维护|+|运维中心审批|+|业务需求不完善|+|1
2016-09-07|+|常规修改|+|村镇银行信贷系统|+|交易数据维护|+|草稿|+|程序缺陷|+|1
2016-09-05|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|4
2016-09-26|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|2
2016-09-09|+|常规修改|+|小微授信评审系统|+|交易数据维护|+|开发中心处理|+|程序缺陷|+|1
2016-09-07|+|紧急修改|+|(null)|+|配置参数维护|+|草稿|+|(null)|+|1
2016-09-26|+|常规修改|+|(null)|+|交易数据维护|+|运维中心处理|+|(null)|+|1
2016-09-20|+|常规修改|+|新网银系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-14|+|常规修改|+|BPM系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-26|+|常规修改|+|金融IC卡系统|+|交易数据维护|+|运维中心审批|+|程序缺陷|+|1
2016-09-02|+|常规修改|+|金融IC卡系统|+|交易数据维护|+|数据修改实施|+|历史数据问题|+|1
2016-09-01|+|常规修改|+|(null)|+|配置参数维护|+|业务审批确认|+|(null)|+|1
2016-09-18|+|紧急修改|+|RFID库房管理系统|+|交易数据维护|+|数据修改实施|+|程序缺陷|+|1
2016-09-23|+|常规修改|+|村镇银行信贷系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-05|+|紧急修改|+|第三方支付系统|+|交易数据维护|+|已作废|+|程序缺陷|+|1
2016-09-29|+|常规修改|+|代理业务平台|+|交易数据维护|+|草稿|+|新增业务需求|+|1
2016-09-14|+|常规修改|+|新风控系统|+|交易数据维护|+|运维中心审批|+|历史数据问题|+|1
2016-09-26|+|常规修改|+|(null)|+|配置参数维护|+|已关闭|+|(null)|+|1
2016-09-14|+|紧急修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-07|+|常规修改|+|代收付系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-09-26|+|紧急修改|+|新网银系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-28|+|常规修改|+|信雅达同城支付系统|+|交易数据维护|+|回顾|+|历史数据问题|+|1
2016-09-20|+|紧急修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-20|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|3
2016-09-29|+|紧急修改|+|直销银行系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-09-09|+|常规修改|+|商业汇票系统|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-09-13|+|紧急修改|+|新网银系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-09|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-30|+|常规修改|+|新风控系统|+|交易数据维护|+|运维中心处理|+|历史数据问题|+|2
2016-09-07|+|紧急修改|+|新网银系统|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-23|+|常规修改|+|统一报表平台|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-26|+|常规修改|+|安保客户安全平台|+|交易数据维护|+|草稿|+|柜员操作失误|+|1
2016-09-09|+|常规修改|+|PE系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-12|+|常规修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-13|+|常规修改|+|(null)|+|配置参数维护|+|已关闭|+|(null)|+|1
2016-09-07|+|紧急修改|+|(null)|+|交易数据维护|+|已作废|+|程序缺陷|+|1
2016-09-27|+|常规修改|+|直销银行系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|2
2016-09-26|+|常规修改|+|开放式基金代销系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
2016-09-19|+|紧急修改|+|(null)|+|交易数据维护|+|已作废|+|(null)|+|1
2016-09-06|+|常规修改|+|PE系统|+|交易数据维护|+|草稿|+|新增业务需求|+|1
2016-09-27|+|常规修改|+|总行国库信息处理系统|+|交易数据维护|+|回顾|+|业务需求不完善|+|1
2016-09-06|+|常规修改|+|第三方支付系统|+|交易数据维护|+|开发中心处理|+|历史数据问题|+|1
2016-09-13|+|常规修改|+|现金管理系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-09-26|+|常规修改|+|(null)|+|交易数据维护|+|业务审批确认|+|(null)|+|1
2016-09-08|+|常规修改|+|零售贷款系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-14|+|常规修改|+|统一报表平台|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-22|+|常规修改|+|新网银系统|+|交易数据维护|+|草稿|+|(null)|+|2
2016-09-28|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|1
2016-09-21|+|常规修改|+|新风控系统|+|交易数据维护|+|已关闭|+|业务需求不完善|+|1
2016-09-05|+|(null)|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|1
2016-09-08|+|紧急修改|+|商业汇票系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-09-20|+|常规修改|+|NPS系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-09|+|紧急修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|1
2016-09-05|+|紧急修改|+|对公结售汇系统|+|交易数据维护|+|回顾|+|程序缺陷|+|1
2016-09-02|+|常规修改|+|代理业务平台|+|交易数据维护|+|回顾|+|柜员操作失误|+|1
2016-09-23|+|常规修改|+|金卡系统|+|配置参数维护|+|组织审批|+|新增业务需求|+|1
2016-09-26|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|1
2016-09-23|+|常规修改|+|6688网站|+|交易数据维护|+|回顾|+|新增业务需求|+|1
